index,people_count,table_used,table_total,beanbag_used,beanbag_total,filename
2025-09-11 13:46:02,4.0,7.0,8,2.0,5,IMG_20250911_134602.jpg
2025-09-11 13:47:12,4.0,7.0,8,1.0,6,IMG_20250911_134712.jpg
2025-09-11 13:48:23,5.0,7.0,8,0.0,6,IMG_20250911_134823.jpg
2025-09-11 13:49:34,6.0,7.0,8,2.0,7,IMG_20250911_134934.jpg
2025-09-11 13:50:45,6.0,7.0,8,2.0,7,IMG_20250911_135045.jpg
2025-09-11 13:51:56,6.0,7.0,8,1.0,6,IMG_20250911_135156.jpg
2025-09-11 13:53:06,6.0,7.0,8,1.0,6,IMG_20250911_135306.jpg
2025-09-11 13:54:17,6.0,7.0,10,2.0,6,IMG_20250911_135417.jpg
2025-09-11 13:55:27,6.0,7.0,8,2.0,8,IMG_20250911_135527.jpg
2025-09-11 13:56:38,6.0,7.0,8,0.0,7,IMG_20250911_135638.jpg
2025-09-11 13:57:49,5.0,7.0,8,0.0,5,IMG_20250911_135749.jpg
2025-09-11 13:59:00,6.0,8.0,9,0.0,6,IMG_20250911_135900.jpg
2025-09-11 14:00:10,5.0,7.0,8,1.0,5,IMG_20250911_140010.jpg
2025-09-11 14:01:21,7.0,7.0,8,2.0,5,IMG_20250911_140121.jpg
2025-09-11 14:02:31,6.0,7.0,8,1.0,5,IMG_20250911_140231.jpg
2025-09-11 14:03:41,6.0,6.0,7,1.0,5,IMG_20250911_140341.jpg
2025-09-11 14:04:51,7.0,7.0,8,1.0,5,IMG_20250911_140451.jpg
2025-09-11 14:06:02,6.0,7.0,8,1.0,5,IMG_20250911_140602.jpg
2025-09-11 14:07:12,5.0,7.0,8,1.0,5,IMG_20250911_140712.jpg
2025-09-11 14:08:24,7.0,8.0,9,3.0,6,IMG_20250911_140824.jpg
2025-09-11 14:09:34,7.0,7.0,8,2.0,5,IMG_20250911_140934.jpg
2025-09-11 14:10:44,8.0,7.0,8,1.0,5,IMG_20250911_141044.jpg
2025-09-11 14:11:54,5.0,8.0,9,0.0,5,IMG_20250911_141154.jpg
2025-09-11 14:13:04,5.0,9.0,10,1.0,5,IMG_20250911_141304.jpg
2025-09-11 14:14:14,5.0,7.0,8,1.0,6,IMG_20250911_141414.jpg
2025-09-11 14:15:25,7.0,7.0,8,0.0,5,IMG_20250911_141525.jpg
2025-09-11 14:16:35,9.0,9.0,9,2.0,6,IMG_20250911_141635.jpg
2025-09-11 14:17:46,9.0,8.0,8,2.0,7,IMG_20250911_141746.jpg
2025-09-11 14:18:57,6.0,10.0,10,1.0,6,IMG_20250911_141857.jpg
2025-09-11 14:20:12,8.0,11.0,11,1.0,6,IMG_20250911_142012.jpg
2025-09-11 14:21:23,8.0,11.0,11,1.0,5,IMG_20250911_142123.jpg
2025-09-11 14:22:33,8.0,10.0,10,1.0,5,IMG_20250911_142233.jpg
2025-09-11 14:23:43,7.0,10.0,10,1.0,5,IMG_20250911_142343.jpg
2025-09-11 14:24:53,7.0,10.0,10,0.0,5,IMG_20250911_142453.jpg
2025-09-11 14:26:04,7.0,10.0,10,1.0,5,IMG_20250911_142604.jpg
2025-09-11 14:27:14,6.0,9.0,9,1.0,4,IMG_20250911_142714.jpg
2025-09-11 14:28:23,7.0,9.0,9,1.0,5,IMG_20250911_142823.jpg
2025-09-11 14:29:34,6.0,8.0,8,0.0,7,IMG_20250911_142934.jpg
2025-09-11 14:30:45,6.0,8.0,8,1.0,4,IMG_20250911_143045.jpg
2025-09-11 14:32:01,6.0,9.0,9,1.0,5,IMG_20250911_143201.jpg
2025-09-11 14:33:12,7.0,8.0,8,0.0,5,IMG_20250911_143312.jpg
2025-09-11 14:34:23,6.0,8.0,8,0.0,6,IMG_20250911_143423.jpg
2025-09-11 14:35:33,6.0,8.0,8,0.0,6,IMG_20250911_143533.jpg
2025-09-11 14:36:44,6.0,11.0,11,1.0,5,IMG_20250911_143644.jpg
2025-09-11 14:37:55,17.0,8.0,8,2.0,5,IMG_20250911_143755.jpg
2025-09-11 14:39:05,12.0,8.0,8,2.0,5,IMG_20250911_143905.jpg
2025-09-11 14:40:15,9.0,8.0,9,2.0,3,IMG_20250911_144015.jpg
2025-09-11 14:41:24,10.0,9.0,10,2.0,6,IMG_20250911_144124.jpg
2025-09-11 14:42:36,8.0,10.0,12,2.0,7,IMG_20250911_144236.jpg
2025-09-11 14:43:46,8.0,7.0,9,1.0,6,IMG_20250911_144346.jpg
2025-09-11 14:44:56,9.0,9.0,10,0.0,5,IMG_20250911_144456.jpg
2025-09-11 14:46:07,9.0,6.0,8,0.0,4,IMG_20250911_144607.jpg
2025-09-11 14:47:18,9.0,7.0,9,1.0,5,IMG_20250911_144718.jpg
2025-09-11 14:48:29,9.0,6.0,8,0.0,5,IMG_20250911_144829.jpg
2025-09-11 14:49:38,9.0,7.0,9,1.0,5,IMG_20250911_144938.jpg
2025-09-11 14:50:49,7.0,6.0,8,1.0,5,IMG_20250911_145049.jpg
2025-09-11 14:51:59,7.0,8.0,10,0.0,5,IMG_20250911_145159.jpg
2025-09-11 14:53:10,9.0,7.0,9,2.0,5,IMG_20250911_145310.jpg
2025-09-11 14:54:20,7.0,6.0,8,2.0,5,IMG_20250911_145420.jpg
2025-09-11 14:55:31,10.0,7.0,9,3.0,6,IMG_20250911_145531.jpg
2025-09-11 14:56:41,7.0,6.0,8,0.0,5,IMG_20250911_145641.jpg
2025-09-11 14:57:52,5.0,8.0,10,0.0,5,IMG_20250911_145752.jpg
2025-09-11 14:59:02,6.0,6.0,8,0.0,5,IMG_20250911_145902.jpg
2025-09-11 15:00:12,6.0,7.0,9,1.0,5,IMG_20250911_150012.jpg
2025-09-11 15:01:22,5.0,5.0,8,0.0,5,IMG_20250911_150122.jpg
2025-09-11 15:02:36,7.0,7.0,10,0.0,5,IMG_20250911_150236.jpg
2025-09-11 15:03:47,4.0,5.0,8,0.0,5,IMG_20250911_150347.jpg
2025-09-11 15:04:57,4.0,4.0,8,0.0,5,IMG_20250911_150457.jpg
2025-09-11 15:06:09,1.0,3.0,8,0.0,5,IMG_20250911_150609.jpg
2025-09-11 15:07:19,2.0,3.0,8,0.0,5,IMG_20250911_150719.jpg
2025-09-11 15:08:29,0.0,3.0,8,0.0,5,IMG_20250911_150829.jpg
2025-09-11 15:09:39,2.0,5.0,9,0.0,5,IMG_20250911_150939.jpg
2025-09-11 15:10:49,2.0,4.0,8,0.0,5,IMG_20250911_151049.jpg
2025-09-11 15:11:59,1.0,4.0,8,0.0,5,IMG_20250911_151159.jpg
2025-09-11 15:13:09,2.0,4.0,8,0.0,5,IMG_20250911_151309.jpg
2025-09-11 15:14:20,2.0,5.0,9,0.0,5,IMG_20250911_151420.jpg
2025-09-11 15:15:30,1.0,4.0,8,0.0,5,IMG_20250911_151530.jpg
2025-09-11 15:16:41,1.0,5.0,9,0.0,5,IMG_20250911_151641.jpg
2025-09-11 15:17:52,1.0,4.0,8,0.0,5,IMG_20250911_151752.jpg
2025-09-11 15:19:02,1.0,4.0,8,0.0,5,IMG_20250911_151902.jpg
2025-09-11 15:20:13,2.0,4.0,8,1.0,7,IMG_20250911_152013.jpg
2025-09-11 15:21:24,2.0,5.0,9,1.0,6,IMG_20250911_152124.jpg
2025-09-11 15:22:34,3.0,5.0,9,2.0,7,IMG_20250911_152234.jpg
2025-09-11 15:23:44,2.0,5.0,9,1.0,6,IMG_20250911_152344.jpg
2025-09-11 15:24:55,2.0,5.0,9,2.0,7,IMG_20250911_152455.jpg
2025-09-11 15:26:05,2.0,5.0,9,1.0,6,IMG_20250911_152605.jpg
2025-09-11 15:27:15,2.0,5.0,9,1.0,6,IMG_20250911_152715.jpg
2025-09-11 15:28:26,1.0,4.0,8,0.0,6,IMG_20250911_152826.jpg
2025-09-11 15:29:38,2.0,5.0,9,1.0,6,IMG_20250911_152938.jpg
2025-09-11 15:30:49,2.0,6.0,10,1.0,7,IMG_20250911_153049.jpg
2025-09-11 15:32:01,2.0,6.0,10,1.0,6,IMG_20250911_153201.jpg
2025-09-11 15:33:13,2.0,4.0,8,1.0,6,IMG_20250911_153313.jpg
2025-09-11 15:34:23,3.0,4.0,8,1.0,6,IMG_20250911_153423.jpg
2025-09-11 15:35:33,2.0,4.0,8,1.0,6,IMG_20250911_153533.jpg
2025-09-11 15:36:43,2.0,4.0,8,1.0,6,IMG_20250911_153643.jpg
2025-09-11 15:37:53,2.0,4.0,8,1.0,6,IMG_20250911_153753.jpg
2025-09-11 15:39:03,2.0,4.0,8,1.0,7,IMG_20250911_153903.jpg
2025-09-11 15:40:13,2.0,4.0,8,1.0,6,IMG_20250911_154013.jpg
2025-09-11 15:41:23,2.0,4.0,8,1.0,7,IMG_20250911_154123.jpg
2025-09-11 15:42:33,2.0,4.0,8,1.0,6,IMG_20250911_154233.jpg
2025-09-11 15:43:44,3.0,4.0,8,1.0,7,IMG_20250911_154344.jpg
2025-09-11 15:44:54,4.0,4.0,8,1.0,6,IMG_20250911_154454.jpg
2025-09-11 15:46:04,2.0,4.0,8,1.0,8,IMG_20250911_154604.jpg
2025-09-11 15:47:15,2.0,4.0,8,0.0,5,IMG_20250911_154715.jpg
2025-09-11 15:48:26,2.0,4.0,8,0.0,5,IMG_20250911_154826.jpg
2025-09-11 15:49:36,3.0,5.0,9,0.0,5,IMG_20250911_154936.jpg
2025-09-11 15:50:51,2.0,4.0,8,0.0,6,IMG_20250911_155051.jpg
2025-09-11 15:52:02,2.0,4.0,8,1.0,6,IMG_20250911_155202.jpg
2025-09-11 15:53:13,2.0,4.0,8,1.0,5,IMG_20250911_155313.jpg
2025-09-11 15:54:24,2.0,4.0,8,1.0,6,IMG_20250911_155424.jpg
2025-09-11 15:55:34,2.0,5.0,8,1.0,5,IMG_20250911_155534.jpg
